ID,Latitude,Longitude,LimitingMag
269379,21.5775,79.3115,7
269472,19.4912,-155.038,7
270018,23.2027,81.59,7
270029,24.1177,121.237,7
270030,24.1177,121.237,7
270125,4.65961,-74.1343,7
270166,40.2109,-92.6304,7
270200,38.1347,-105.466,7
270230,-50.1572,-71.9888,7
270232,-50.2679,-71.886,7
270233,-49.3023,-72.9296,7
270244,41.4861,-71.5309,7
270323,28.7041,77.1025,7
270396,36.1069,-112.113,7
270457,50.0755,14.4378,7
270482,43.6562,-79.4074,7
270484,43.6762,-79.357,7
270541,32.7565,-117.117,7
270636,32.576,-97.0913,7
270880,44.5966,-70.1205,7
270940,-8.32295,-43.1747,7
271010,47.4101,8.54147,7
271011,47.4101,8.54147,7
271026,46.6594,-94.1139,7
271049,54.9295,10.826,7
271136,43.0282,-76.1666,7
271218,40.2133,-77.008,7
271281,47.153,8.55187,7
271282,47.153,8.55187,7
271283,47.153,8.55187,7
271284,47.153,8.55187,7
271285,47.153,8.55187,7
271286,47.153,8.55187,7
271287,47.153,8.55187,7
269263,32.6103,-110.798,6
269297,32.6102,-110.798,6
269324,32.6102,-110.797,6
269332,-34.7157,-56.1946,6
269335,41.2295,-103.823,6
269336,47.9186,-122.554,6
269338,32.6103,-110.798,6
269369,47.9186,-122.554,6
269456,38.9923,-76.9422,6
269474,38.888,-119.819,6
269524,32.6102,-110.797,6
269572,32.6102,-110.797,6
269576,32.6217,-110.746,6
269599,47.3543,-122.702,6
269631,38.627,-90.1994,6
269662,40.2076,-92.6289,6
269684,15.4703,-126.983,6
269685,15.4703,-126.983,6
269704,40.2076,-92.6289,6
269705,40.1882,-92.641,6
269722,-37.8443,175.438,6
269757,40.2076,-92.6289,6
269810,-30.0199,-70.6282,6
269811,-30.0199,-70.6282,6
269824,32.6224,-109.824,6
269844,33.4135,-112.778,6
269870,38.888,-119.819,6
269905,44.963,-93.1782,6
270150,32.6101,-110.797,6
270177,32.6102,-110.797,6
270180,41.8834,-70.7625,6
270213,32.7291,-116.183,6
270214,32.7291,-116.183,6
270240,30.5216,-86.4808,6
270241,30.5216,-86.4808,6
270261,35.8422,-121.399,6
270263,33.3264,-117.321,6
270289,42.1262,-70.8477,6
270294,42.1262,-70.8477,6
270295,42.1262,-70.8477,6
270326,38.888,-119.819,6
270339,28.3476,-82.1094,6
270421,32.6102,-110.797,6
270429,39.9512,-105.505,6
270442,32.9964,-116.97,6
270444,32.9964,-116.97,6
270454,35.3536,137.671,6
270483,40.0373,-105.367,6
270526,33.1005,-116.301,6
270546,36.6032,129.195,6
270603,28.8278,-82.3305,6
270663,40.7934,-77.86,6
270672,39.6655,-105.205,6
270751,-34.8499,-56.2617,6
270772,38.888,-119.819,6
270793,40.6837,-73.4961,6
270794,40.6837,-73.4961,6
270804,-51.7397,-61.2806,6
270805,40.1798,-92.5999,6
270825,32.7098,-108.299,6
270850,32.7098,-108.299,6
270867,33.9813,-111.798,6
270868,33.9813,-111.798,6
270873,35.284,-120.667,6
270930,40.2803,-74.0054,6
270941,32.7097,-108.299,6
270942,28.5688,-81.2016,6
270945,35.2661,-120.894,6
270982,47.6103,20.7282,6
270985,47.6103,20.7283,6
270986,47.6101,20.7278,6
271012,47.7497,57.2526,6
271050,54.8358,11.4824,6
271052,42.2015,-74.0307,6
271165,47.6102,20.728,6
271203,35.027,-89.2723,6
269238,38.001,-87.3923,5
269239,33.9645,-83.4052,5
269244,43.6755,-70.4607,5
269275,49.3662,8.75059,5
269283,29.8725,-98.6307,5
269313,44.9783,-92.7475,5
269314,44.9783,-92.7475,5
269320,30.435,-98.0205,5
269327,53.7275,-2.19225,5
269347,40.1872,-92.59,5
269363,29.8725,-98.6307,5
269364,29.8725,-98.6307,5
269370,40.7913,-77.8653,5
269389,43.8315,-72.1532,5
269393,-6.7284,-36.2655,5
269399,41.7248,-87.9599,5
269419,35.3536,137.671,5
269436,-6.7285,-36.2655,5
269450,42.1532,-120.499,5
269457,31.8922,-116.688,5
269475,43.8323,-72.1526,5
269483,40.8011,-77.8459,5
269516,47.0402,-87.0312,5
269520,39.9774,-105.334,5
269566,53.7278,-2.19251,5
269568,36.1466,-86.8046,5
269575,40.9887,-75.2963,5
269593,41.8781,-87.6298,5
269594,47.3569,-122.7,5
269596,47.3569,-122.7,5
269597,47.3543,-122.702,5
269598,47.3543,-122.702,5
269603,42.9725,-78.7456,5
269637,47.3293,-122.58,5
269641,36.1472,-86.8038,5
269643,37.1585,-77.4041,5
269654,47.3543,-122.702,5
269666,40.9887,-75.2963,5
269723,20.1643,-103.724,5
269724,15.4173,74.1567,5
269728,44.8103,-93.9396,5
269775,47.1731,-122.445,5
269776,47.1731,-122.445,5
269779,47.1731,-122.445,5
269793,41.4843,-71.5243,5
269802,32.4371,-80.6357,5
269803,32.4373,-80.6358,5
269817,34.6832,-82.1844,5
269823,32.3044,-84.7629,5
269825,15.4173,74.1568,5
269854,41.4843,-71.5243,5
269863,33.9642,-98.6846,5
269864,33.9642,-98.6846,5
269865,33.9642,-98.6846,5
269891,44.9766,-93.2246,5
269897,42.3743,-71.2454,5
269947,-34.8923,-56.1634,5
269957,-34.8916,-56.16,5
269962,42.9244,-71.4516,5
269971,35.3652,-120.556,5
270014,47.2157,7.54502,5
270037,35.8666,-78.856,5
270075,54.1536,12.0771,5
270076,54.1535,12.0771,5
270106,-6.7284,-36.2655,5
270135,33.2901,-116.952,5
270147,33.0011,-116.817,5
270148,33.0011,-116.816,5
270172,43.1674,-70.8191,5
270207,30.435,-98.0205,5
270226,40.7982,-77.8599,5
270248,35.1615,-120.552,5
270264,43.1651,-79.6045,5
270266,41.2049,22.5784,5
270280,42.3743,-71.2454,5
270281,42.3743,-71.2454,5
270290,-39.0335,-72.7924,5
270333,46.1115,14.0928,5
270338,41.2091,22.5825,5
270347,41.4861,-71.5309,5
